ticker,year,month,industry,assets,current_assets,non_current_assets,cash,trade_receivables,inventories,ppe,intangibles,goodwill,liabilities,current_liabilities,non_current_liabilities,debt_short_term,debt_long_term,borrowings,trade_payables,equity,equity_parent,minority_interest,issued_capital,retained_earnings,revenue,cost_of_sales,gross_profit,distribution_costs,administrative_expense,other_income,other_expense,employee_benefits,operating_income,ebit,finance_income,finance_costs,profit_before_tax,income_tax,net_income,net_income_parent,cfo,depreciation_amortization,capex,investing_cf,dividends_paid,proceeds_from_borrowings,repayment_of_borrowings,financing_cf,net_change_cash,deposits_from_customers,loans_to_customers,eps_basic,eps_diluted,shares_outstanding
GASCO.SN,2014,12,non_financial,1702789239.0,186271926.0,1516517313.0,56726757.0,74815361.0,42498870.0,1438330936.0,23191706.0,18130372.0,878245679.0,209398468.0,668847211.0,55442428.0,118847123.0,174289551.0,77836737.0,824543560.0,538521667.0,286021893.0,136133418.0,142584128.0,1100914457.0,846734816.0,254179641.0,16645907.0,57801991.0,319389.0,7433630.0,50673079.0,180149617.0,144378934.0,4048496.0,30210441.0,144378934.0,35819782.0,108559152.0,53375616.0,238578919.0,56922338.0,-88719294.0,-92918943.0,146704789.0,434720098.0,-399887136.0,-147038297.0,-3610896.0,,,317.71,317.71,168000000.0
GASCO.SN,2015,12,non_financial,1716716860.0,1183546289.0,533170571.0,17869537.0,32757656.0,38084385.0,516944842.0,8764535.0,7798851.0,885212031.0,591393921.0,293818110.0,35665507.0,91998376.0,127663883.0,46044411.0,831504829.0,543473930.0,288030899.0,136133418.0,169836263.0,404056158.0,301080416.0,102975742.0,16193410.0,24866350.0,148998.0,3828235.0,32246399.0,54199614.0,36805848.0,1139803.0,14398582.0,36805848.0,10096396.0,87524224.0,52766185.0,95443262.0,23592190.0,-27147074.0,-88168874.0,46022360.0,262547943.0,,-46418838.0,-38857220.0,,,314.08,314.08,168000000.0
GASCO.SN,2016,12,non_financial,638249495.0,98841993.0,539407502.0,24452214.0,33041935.0,32072298.0,521736027.0,10129324.0,7798851.0,413449958.0,120669238.0,292780720.0,29376216.0,94174220.0,123550436.0,50273804.0,224799537.0,197720322.0,27079215.0,47100243.0,45398763.0,490269078.0,385190000.0,105079078.0,16187106.0,23618479.0,1093166.0,4023411.0,33864216.0,56625835.0,38699472.0,966334.0,15443669.0,38699472.0,10569489.0,29272023.0,23193712.0,78971338.0,22040480.0,-29444916.0,-30104488.0,24162461.0,159477418.0,-163722647.0,-42228715.0,6582677.0,,,138.06,138.06,168000000.0
GASCO.SN,2017,12,non_financial,669702201.0,110595726.0,559106475.0,26572054.0,36765213.0,38131642.0,537362811.0,9769124.0,7404035.0,412484127.0,114875441.0,297608686.0,24234333.0,98663318.0,122897651.0,51101239.0,257218074.0,229840397.0,27377677.0,47100243.0,66460916.0,557767708.0,447583717.0,110183991.0,17884194.0,25078850.0,174115.0,4121288.0,36280654.0,60190016.0,45195249.0,1208395.0,14498688.0,45195249.0,10565684.0,34768836.0,28215463.0,75072198.0,24386488.0,-30445160.0,-40684947.0,18978125.0,132360891.0,-130376905.0,-31632035.0,2119840.0,,,167.95,167.95,168000000.0
GASCO.SN,2018,12,non_financial,726400665.0,129790436.0,596610229.0,22692642.0,51914120.0,40294196.0,570634366.0,10574966.0,7404035.0,450056127.0,135897978.0,314158149.0,23824594.0,106880214.0,130704808.0,72238417.0,276344538.0,256681080.0,19663458.0,47100243.0,78363558.0,619621664.0,511952995.0,107668669.0,19531656.0,25148948.0,169136.0,4157584.0,35665689.0,58000142.0,38889575.0,1210714.0,14990169.0,38889575.0,12584473.0,26304573.0,21550107.0,69507878.0,25931611.0,-31223940.0,-42473821.0,19095126.0,345119632.0,-343557459.0,-30947666.0,-3879412.0,,,128.28,128.28,168000000.0
GASCO.SN,2019,12,non_financial,759587987.0,205358084.0,554229903.0,16319608.0,32118576.0,15962163.0,484886221.0,11246589.0,8193667.0,460154085.0,168893432.0,291260653.0,46484634.0,55001383.0,101486017.0,38154843.0,299433902.0,273892187.0,25541715.0,47100243.0,97158016.0,331516616.0,240663571.0,90853045.0,21749529.0,23914085.0,85364.0,4165783.0,35649845.0,44289589.0,29242503.0,959670.0,12305820.0,29242503.0,13428484.0,32485876.0,26441255.0,65837702.0,26715099.0,-34025205.0,-31147209.0,15812000.0,7178812.0,-15262348.0,-37907245.0,-2136277.0,,,157.39,157.39,168000000.0
GASCO.SN,2020,12,non_financial,709170997.0,200876405.0,508294592.0,25638683.0,32480488.0,22803698.0,475583646.0,11993196.0,8335729.0,458555802.0,170057153.0,288498649.0,26810352.0,66698593.0,93508945.0,42819598.0,250615195.0,236922648.0,13692547.0,39498111.0,114358180.0,337684571.0,250482514.0,87202057.0,24127712.0,23415051.0,137953.0,4001172.0,38314728.0,32842564.0,17289450.0,956811.0,11416105.0,17289450.0,-1740250.0,39158876.0,31846662.0,61843664.0,28828438.0,-38969242.0,-17185668.0,13777022.0,30177344.0,-42370871.0,-39048723.0,5298118.0,,,189.56,189.56,168000000.0
GASCO.SN,2021,12,non_financial,808720768.0,183944585.0,624776183.0,98223122.0,41151185.0,21022423.0,585887982.0,11595391.0,7869882.0,435132618.0,113094948.0,322037670.0,10821806.0,49588800.0,60410606.0,59172221.0,373588150.0,372675638.0,912512.0,39498111.0,187684405.0,452339507.0,363706248.0,88633259.0,26125658.0,25778229.0,177340.0,4446526.0,39434966.0,150666727.0,140358314.0,1552965.0,10979771.0,140358314.0,30044990.0,117726192.0,115000855.0,60761852.0,29582338.0,-54306272.0,92045371.0,25872000.0,44139643.0,-86631808.0,-81025027.0,72368639.0,,,684.53,684.53,168000000.0
GASCO.SN,2022,12,non_financial,824693986.0,147572181.0,677121805.0,40360448.0,54847787.0,43605426.0,641799846.0,15439939.0,10492479.0,457493032.0,115010077.0,342482955.0,11788119.0,49833823.0,61621942.0,70992084.0,367200954.0,364750076.0,2450878.0,39498111.0,196923639.0,533831796.0,442376339.0,91455457.0,30291224.0,27698738.0,289096.0,3932652.0,43781366.0,40173053.0,12682060.0,4913692.0,14858037.0,12682060.0,-400500.0,13082560.0,12985403.0,36620482.0,32542054.0,-54727728.0,-52932133.0,18816000.0,3901687.0,-10928418.0,-41176843.0,-57862674.0,,,77.87,,168000000.0
GASCO.SN,2023,12,non_financial,878539623.0,153483583.0,725056040.0,35452049.0,62504530.0,43147752.0,680475421.0,18544440.0,12158160.0,477359927.0,132702528.0,344657399.0,8675803.0,47115276.0,55791079.0,84431427.0,401179696.0,398441997.0,2737699.0,39498111.0,213372540.0,500956305.0,392369485.0,108586820.0,33812092.0,29195636.0,521251.0,3738974.0,45113820.0,41098126.0,22332248.0,4541129.0,16523160.0,22332248.0,4510478.0,17821770.0,17709580.0,79951724.0,33951225.0,-43145710.0,-44385207.0,7257600.0,2173203.0,-18335285.0,-44242769.0,-6559677.0,,,105.41,,168000000.0
GASCO.SN,2024,12,non_financial,1028362975.0,153734854.0,874628121.0,38551692.0,69880219.0,40215781.0,830355827.0,17822041.0,12000713.0,556594391.0,170390719.0,386203672.0,26546140.0,68621650.0,95167790.0,84037245.0,471768584.0,468625856.0,3142728.0,39498111.0,231219019.0,582270340.0,455562047.0,126708293.0,40045146.0,34021596.0,162784.0,4343538.0,53106392.0,53988213.0,37582000.0,3621591.0,15280432.0,37582000.0,15443549.0,22138451.0,21927832.0,75757772.0,36526044.0,-85137356.0,-77775833.0,8232000.0,58640901.0,-26235861.0,2146733.0,3099643.0,,,130.52,,168000000.0
